UniqueID,Q1_Response,Q2_Response,Q3_Response,DateLoaded,LoadedBy
N22-01,"The Task Force needs to make sure that experts in the specific area continue to be removed from the voting process on final recommendations. This is supported by research demonstrating that higher focus in specific brings biases more than generalism. Also, primary care providers implement these guidelines, do virtually all the preventive care of the Task Force, and thus are best at balancing the complex risks and benefits screening. It is essential they lead the guideline process. That said, we also need to find ways to include specialized colleagues in consultation to process. Unfortunately, the dialogue between the Task Force leadership and those with differing views digressed to dispute and negative communication. The Task Force has spent too much effort asserting the superiority of their methods and lack of bias, instead of seeking common ground. Part of that narrative has led the Task Force to lean into being more and more focused on GRADE, complex detailed systematic reviews, and formal process, instead of looking at collaborations. There is an arrogance in the Task Force that is hurting it. This is a cycle that feeds on itself. The focus of future leadership should be authenticity, listening, collaboration, and inclusivity.","As mentioned, it should remain focused and led by primary care but needs to have collaboration and inclusivity with specialist and special interest groups. It needs leadership keen on collaboration. Our speciality colleagues also have to accept that realities of primary care are different, time/dollars are not infinite resources, and patient choice is paramount. For example, the US Task Force does not consider time and resource needed for an intervention, which has led them to recommend so many things it is no estimated a primary care provider would need >24 hours per day to follow their (and other) recommendations. Canada truly has the best balance of this right now. I would suggest that specialized voices be included but the voting must be managed (due to bias) but they should be given time to be heard (and they need to understand/accept realities of primary care) and they should be authors on the guideline (not just acknowledged).","The Task Force was starting on the equity and disparities work but this could be expanded. They should reach out to groups before the guideline starts. As to subject matter experts, advice given above.",,
N24-01,"The strong representation of family doctors should be maintained since they constitute the main actors having to “implement” the recommendations with their patients. Patients, public health experts, shared decision experts as well as health economists should complete the team. The addition of economists aims to maintain a safeguard protecting the health system from costs, in human or financial resources, which would be unsustainable for the system. Recommendations that are not aligned with available resources contribute to weakening the system, particularly its universality, which, in turn, is very harmful to everyone's health.","Analysis of the data in the literature translated into decision support tools as well as a systemic evaluation of recommendations should be the ultimate goal of all stakeholders. It is dangerous to see diseases in isolation. It would be a mistake to think only of breast cancer and its mortality without taking into account the psychological impact of a false positive in a context of shortage of mental health resources.
The study group must therefore listen to stakeholders but remain sovereign, in collaboration with public health actors, in order to produce guidelines that are applicable, sustainable, global and patient-centered (or shared decision)","Collaborations aimed at equity should be favoured. Once again, the integration of health economists and application projections are key to ensuring that the recommendation is realistic, applicable and sustainable.
Expert opinion in the area should not replace evidence-based medicine. Experts could help to ensure that all literature considered is the correct one. Nevertheless, when it comes to prevention and screening, it is frontline and public health professionals who are the experts. Experts in a given clinical condition are experts in the condition, not in its detection or prevention.",,
N24-02,"Practices to Maintain: Evidence-Based Methodology: The Task Force’s reliance on rigorous systematic reviews ensures scientifically grounded guidelines. This approach must remain the foundation for decision-making.
Transparency in Processes: Public access to methodologies, decision-making rationales, and conflict-of-interest disclosures fosters trust and accountability. Continued publication of these materials is essential.
Multidisciplinary Input: Inclusion of diverse subject-matter experts enhances relevance and Inclusivity. Maintaining this approach will support comprehensive and evidence-informed guidelines.
Independence from External Pressures, maintaining independence from political and industrial influences safeguards the credibility of the guidelines.
Proposed Enhancements:
Expanded Governance Structures: Include advisory panels focused on equity, Indigenous health, and patient representation. Diversify leadership and membership of the Task Force to reflect Canada’s regional, cultural, and professional diversity.
Transparency in Development: Host public consultations and webinars during guideline drafting phases to incorporate broader feedback.Publish annual reports on progress, gaps, and future priorities.
Enhanced Agility: Establish rapid response teams for emerging health issues (e.g., pandemics, climate change impacts on health).
Integration of MSK Health as a Priority Area: Recognize MSK health as a cornerstone of preventive care, addressing its links to chronic diseases such as mental health disorders, cardiovascular conditions, and metabolic syndromes.
Current gaps in preventive strategies, early detection, and treatment for MSK health demand comprehensive integration into the Task Force’s mandate. The holistic nature of MSK care—spanning primary prevention, early diagnosis, and evidence-based treatments by chiropractors, physiotherapists, and other professionals—makes it a model for enhancing the Task Force’s transparency, collaboration, and leadership.","The future mandate of the Task Force must reflect the interconnected nature of health systems and the evolving priorities of preventive health care. This includes strengthening partnerships and addressing areas such as MSK health, which have profound implications for chronic disease prevention and management.
Refined Mandate: Broader Scope of Preventive Care:
Expand the mandate to address MSK health explicitly, recognizing its role in preventing chronic diseases and enhancing quality of life.
Integrate social determinants of health, mental health, and environmental factors into preventive health guidelines.
Equity-Driven Prioritization: Focus on interventions addressing health disparities in underserved and equity-deserving populations.
Implementation Science: Emphasize research-to-practice translation to ensure guidelines are actionable and practical for diverse settings.
Opportunities for Collaboration: National Partnerships: Collaborate with organizations like the Canadian Chiropractic Association, Canadian Chiropractic Guideline Initiative, and Physiotherapy Association to leverage MSK expertise.
Partner with provincial and territorial health authorities to ensure regional adaptability of guidelines.
International Cooperation: Engage with global bodies such as the World Health Organization to harmonize methodologies and share best practices.
Cross-Sectoral Alliances: Work with community organizations and educational institutions to promote guideline awareness and implementation.
Integration with Chronic Disease Programs: Embed MSK health into existing chronic disease prevention frameworks, highlighting its role in reducing cardiovascular, metabolic, and mental health risks.","Strategies for Strengthening Engagement: Equity Advisory Panels:
Establish panels with representatives from Indigenous, racialized, and marginalized communities to co-develop guidelines.
Public Consultations and Feedback Mechanisms: Host community forums, focus groups, and online surveys to gather input from diverse populations.
Accessible Communication: Translate guidelines into multiple languages and use plain language summaries to reach all Canadians.
Community Partnerships: Work with grassroots organizations to tailor guidelines to local contexts and disseminate them effectively.
Training and Mentorship: Build capacity among underrepresented professionals, ensuring their voices contribute to guideline development.
Evaluation Metrics: Develop and publish metrics to track the inclusivity of engagement efforts and their impact on guideline adoption.
Co-developing MSK health interventions with Indigenous and underserved communities—integrating traditional healing practices and evidence-based treatments—can reduce cultural and access barriers while improving health outcomes.
Action Plan for Musculoskeletal (MSK) Health: Integration into the Task Force Framework
MSK health is a prime candidate for integration into the Task Force’s priorities, given its preventive potential and relevance across the lifespan.
Prevention Strategies: Launch awareness campaigns on MSK health, posture, and physical activity. Implement school and workplace programs promoting ergonomics and movement.
Early Detection and Diagnosis: Incorporate routine MSK screenings into primary care.
Leverage digital tools for self-assessment and remote consultations.
Evidence-Based Treatment and Multidisciplinary Care: Develop integrated treatment plans involving chiropractic care, physiotherapy, occupational therapy, and medical management. Expand non-pharmacological pain management options.
Equity and Accessibility: Co-develop culturally sensitive MSK care programs with equity-deserving communities. Use telemedicine and mobile clinics to improve access in rural areas.
Research and Innovation: Fund studies on MSK health’s role in chronic disease prevention.
Build national data registries to inform policy and practice.
Stakeholder Engagement: Foster interprofessional collaboration across healthcare disciplines.
Develop tools for public empowerment in self-managing MSK health.",,
N24-03,"I see no major issues with transparency, accountability, independence or scientific rigor. Changes are needed to improve the timeliness of guideline updating and the production of new guidelines. Several factors influence this. One is the speed with which PHAC staff and Task Force (TF) members work. With respect to the TF members, a lack of speed may be expected due to volunteer status. From the 2022 PHAC review: “The lack of compensation has also limited the amount of time members can devote to Task Force activities, affecting overall timeliness.”
Regarding PHAC staff, I do have concerns about some members of the Science Team. These are talented people who are too often called away to attend to non-TF matters. But progress is possible. For example, in years past I witnessed the PHAC Science Team being overly involved in the systematic reviews that are fundamentally an ERSC responsibility. In response to the 2022 internal review that pointed to a need to “Clarify PHAC’s role versus that of the ERSCs with respect to scoping and conducting systematic reviews”: I believe the ERSC is now taking the lead on scoping the literature for each proposed guideline in addition to conducting the systematic reviews.","I do not see a compelling need to change the mandate of the TF. Nationally, the TF collaborates with Choosing Wisely Canada and the PEER group based in Alberta. We work with all manner of clinical experts. For example, a member of Osteoporosis Canada acted as a clinical expert advsing the 2023 guideline panel on preventing fragility fractures.
Internationally, the most obvious parties for collaboration would be the UK National Screening Committee and the US Preventive Services Task Force. In their work, the US Task Force is supported by evidence review centres via the Agency for Healthcare Research & Quality (AHRQ). In 2021, I was unsuccessful in trying to obtain systematic review data for a proposed new guideline on the prevention of cardiovascular disease. Put simply, AHRQ would not share the data for their review of this topic.
Prior to my term as co-chair, Dr Thombs attempted to establish collaborations with the UK National Screening Committee on systematic reviews of topics of shared interest. But this effort did not bear fruit for reasons I cannot recall.","As a societal problem, the complex and multifactorial solutions to address disparities in health equity fall outside the sphere of influence of the Canadian TF.
Regarding ‘subject-matter experts’, strengthening the engagement of such people in TF guidelines might paradoxically be problematic. First, let us agree that a subject-matter expert is a person who has accumulated knowledge in a particular field or topic (such as a specific disease or set of diseases), as demonstrated by their degree, licensure, and/or through years of professional experience. Over time, such experts often develop conflicts of interest, whether intellectual or financial in nature. Jatoi and Sah (CMAJ 2019) compared clinical practice guidelines from specialty societies against guideline recommendations produced by panels independent of a particular specialty. They found that specialty societies recommended more health care interventions linked to their specialty. This lends support for a recommendation from Ioannidis that guideline panels for primary health care be multidisciplinary with disease experts serving as consultants, not voting members. I am sympathetic to this position as articulated in his 2018 article in Circulation: Cardiovascular Quality and Outcomes.
Finally, I would like to state the following. As a family doctor, the TF provided me an opportunity to meaningfully contribute to medical knowledge through guideline recommendations for screening and preventive health care. In this respect, the TF is arguably the only such option available to Family Physicians in Canada.",,
N25-01,"In order for the recommendations to remain relevant as a whole, it is imperative to include partners who have no affiliation with the pharmaceutical industry. Include only evidence based on literature and not on expert opinions. Include groups specializing in the analysis of relevance.","The mandate of the expert group should be to provide clinicians with recommendations that include data such as “number needed to treat” or “number of screenings necessary for a positive outcome” BUT ALSO, the “number needed to harm”, or the number of negative effects associated with screenings. This is essential for clinicians and patients to make informed decisions.

It is also necessary to include opportunity costs in the analysis: i.e. when a multitude of patients undergo radiological screening even though they are at low risk of the disease: they take the imaging appointment slot of a another patient more at risk who will then have increased diagnosis times, which will have a real impact on their outcome….

Furthermore, in order to incorporate the notions of social justice and planetary health (i.e. there are no healthy humans if the environment in which they are is not healthy and we also know that the most marginalized groups experience the repercussions of pollution the most): it is imperative to include the environmental burden linked to screening tests in the calculations of the “number needed to harm”…as well as the economic burden ( We remember that the $ invested in health is not invested in education, social services and the environment which are major determinants for the development of human health and the quality of life in our society….). It is therefore essential that the recommendations include all these facets in the expert group's analysis.",N/A,,
N28-01,"The fact that members of the TF are volunteers is not a sustainable practice and limits the pool of those who apply and participate. This probably also limits the time that individuals can volunteer to the process and would impact ability to update guidelines in a timely manner.
The practice of TF chair selecting members means that ideological similarly individuals are concentrated within the TF. Members should be vetted by an external body.
Sufficiently resource evidence reviews, guideline updates, and responsiveness to emerging research. This is an investment in saved downstream healthcare costs.
Consider putting less weight on “values and preferences” studies as values and preferences are extremely individualised which must be determined by each person for themselves in the context of appropriate individualised risk/benefit information.
Have a justifiable process for choosing “thresholds” to recommend screening. Ensure these are consistent across all guidelines.
There must be appreciation for differing ways to present risk/benefits for health interventions. A focus on absolute numbers constrains the ability to individualise risks and benefits.
Guidelines must be updated a minimum every 5 years, or sooner if an influential trial changes practice.
The impact of guidelines must be assessed in an ongoing manner.
Subject matter experts must be involved in every step of the process, and their involvement must be meaningful and not just a sign-off of completed guidelines. By having non-specialists dictating terms of breast cancer screening review, over-emphasis was placed on old data as there was an incomplete appreciation for the evolution of breast cancer treatment and its impacts on survival and mortality.
Do not require guideline members to sign confidential agreements. Allow guideline members to remove their name from the final guideline report if they are not in agreement with the guidelines. Currently, few individuals will agree to review guidelines, because their name will be irrevocably attached to the guideline, even if they do not agree.
Experts should be voting members.
Appreciate that guidelines must be a collaborative effort between specialists who typically can understand and interpret the evidence within their fields, and FPs who typically must enact the contents of the guidelines. Content expertise does not equal bias.
Consider housing a future version of the TF within an institution such as the CMA, which reflects both specialist and primary care interests.
Ensure an accountability structure that includes reporting requirements of the TF to funders, CFPC and the Royal College.
The TF should not dictate the terms of the evidence review, as guidelines become a self-fulfilling prophecy.
Evidence collection should not be siloed within different institutions as this limits the ability to have crosstalk and learning across different questions.
Currently the TF pays the evidence review teams, and even pays for publishing costs for evidence review manuscripts. This must be independent.
Evidence review teams MUST contain content experts to allow for appropriate interpretation. For example, with the breast KQ1 review, mastectomy was used as a measure of morbidity (i.e. as opposed to lumpectomy) even though this was the only surgical option for breast cancer at the time the trials were done, and so actually represented treatment of breast cancer.
The TF should not have any ownership or say over manuscripts produced by evidence review team. Currently evidence review manuscripts must be approved by TF, and publication is funded by TF.
In terms of the evidence base, the TF must be open-minded and consider EBM-plus principles:
Old trials which do not reflect current medical practices should be “sunsetted.”
-It is unlikely that there will be many more RCTs on basic screening questions as:
1) they are too expensive
2) It can take 10-20 years for appropriate follow up for mortality endpoints
3) RCTs typically do not reflect the heterogeneity of our Canadian society.
3) It is unethical to withhold screening in a control arm when mortality benefit has been shown for screening
We must therefore consider new and different types of evidence: observational and ecological, modelling and “big data” from our cancer registry and not automatically downgrade this evidence.
-we should validate endpoints for benefit beyond mortality, such as cancer stage and interval cancers to allow more timely use of evidence.
-we should use our cancer registry data and other health system databases to inform guidelines. However, in order to be able to do this we need significant investment in provincial and national registry data. Our current cancer registry has significant limitations in terms of timeliness, completeness of data and extent of data available.
-modelling should be used, but models MUST have clinical experts embedded in their development, updating and use. The recent OncoSim economic update does not seem to have included a breast oncologist and has very different costs than those determined by those with specialist input.","Currently the TF is divisive, minimizes interventions and takes a paternalistic tone, removing patient autonomy. It has driven provincial differences in screening guidelines leading to health inequities across our country.
What deserves a guideline? If there are too many guidelines, none will be followed. Conditions must be common enough that it makes sense to have a guideline. Focus should be on primary and secondary prevention. Some of the TF current guidelines focus on topics for which there was very little evidence available to make an informed decision “i.e. Esophageal Adenocarcinoma”. The absence of evidence is not evidence of absence.
Guidelines currently in Canada seem to have a bias towards minimising interventions. Some TF members have links with Choosing Wisely, which can drive nihilistic medicine. Clearly, more is not always better, but there are complex calculi behind any decision to do or not do something, the nuances of which cannot always be captured with current TF processes.
PCPs feel “over -guidelined” and with so many guidelines, find they are unable to keep up with them all and tend to ignore subsequent iterations.
Worse still, each topic currently has multiple guidelines from multiple specialities and organisations. i.e. osteoporosis, diabetes. With each guideline being slightly different, PCPs end up not following any of them and continuing to do what they have always done. We cannot have multiple guidelines from specialities, FP and other organisations. There must be single harmonised national guidelines with sections addressing primary care, specialist care and patients.
The current discrepancies between guidelines drive care which is not congruent with guidelines and also drives provincial differences in practices.
Economic analyses must be part of any guideline. Effective economic analyses must include clinicians who are up to date on all current aspects of treating the condition in question and must be updated regularly. Especially for cancer, costs change exponentially in the space of a few years with rapid innovations.D8","Guideline development must be a collaborative process including relevant representatives from specialist and generalist fields and organisations.
Patients cannot be expected to meaningfully participate without adequate preparation. There should be education sessions available for patients and community members who wish to be involved so that they can understand basic principles of evidence-based medicine and contribute productively.
Engage relevant patient advocacy groups.
Ensure patrnership with typically underserved groups to increase uptake and accesiblity and enable health equity.
Guidelines should remove barriers. Currently where discussions are mandated with PCP, guidelines create barriers, especially for equity deserving populations who are less likely to self-advocate.",,
N28-02,"I feel that the scientific rigor, transparency and independence of the work they do is clear and well communicated on their website. I don't feel I can always say the same thing of many other expert guideline groups in Canada and indeed internationally. This must be encouraged to continue. If any criticism can be made, I feel the task force should be better supported financially and with administrative back-up such that they can produce more of this work faster. We wait a long time for new updates, for example it is 10 years since any updates to prostate (2014) and cervical (2013) guidelines have been published and this leaves the task force open to criticism that they are not up to date. Various interested parties, which may not be so independent, can inject confusion into the media and patients can be left questioning our advice. Provincial guidelines sometimes fill that void but they lack the broad scope of the Task Force and often will not provide the same guidance as each other, this leads to confusion for patients and as an educator trying to train learners to work anywhere in Canada this is challenging. The Task Force provides clear, evidence based national guidance to help guide us, our learners and therefore our patients and provide better care.","We are acutely aware in Primary Care of the evidence around the ""time needed to treat"" (https://www.bmj.com/content/380/bmj-2022-072953) and when guidelines are not considering the impact of their recommendations on access to care, equitable care and that simply making recommendations to encourage certain maneuvers isn't really adding value (one example would be bone density in all older men when we know there will be few who would need/accept/benefit from treatment). Our national clinical guidelines should be crafted in conjunction with other non-biased groups and organizations who have deservedly earned and maintained the respect of their professional colleagues. I would highlight the work of Choosing Wisely Canada and PEER for example in giving valuable guidance on primary care provision by primary care. Close collaboration with the Task Force on a shared remit of providing high value primary care with these groups moving forward should be encouraged in my view. ","My understanding is that as things stand, expert input is actively solicited by the Task Force when reviewing evidence. Interested parties are welcome to submit data and other research to ensure that all voices are heard and all evidence relevant to the clinical question is available. When guidelines are drafted an opportunity is presented for further input and discussion before recommendations are finalized. I also understand that with patient partnered care in mind, patients are part of the work of the task force and I would certainly feel that this is an area for growth in particular to ensure that underserved populations and racial minorities are represented adequately so I can have clearer evidence to advise these folks on whether these guidelines apply to them or when they are at different risk. These remain guidelines not rules and for example if a 39 year old lady in my care is concerned about breast cancer we can have an informed discussion and arrange imaging if that is her preference, I feel the media miss this piece when reporting on some of this to the general public. More support for media training and engagement with the Task Force to ensure Government, other stakeholders and most importantly patients understand this work is needed to prevent misunderstanding.
I am pleased that a clear review of the remit and support available to the Task Force is being completed and grateful for the opportunity to submit this commentary. I would be more than happy to be contacted by the committee if any clarification of further information on any of the above would be helpful.",,
N28-03,"The CTFPHC demonstrates exemplary transparency and essential rigor in its processes, notably through the central role played by front-line clinicians, particularly family physicians, in drafting guidelines, which ensures their relevance and applicability. 
Systematic reliance on rigorous evidence, through transparent systematic reviews, ensures that every recommendation is based on solid evidence. 
The rigorous management of conflicts of interest within CTFPHC safeguards the group's independence and credibility. To this end, I would like to draw the attention of the members of the committee responsible for the external review exercise to the fact that conflicts of interest can be both commercial, but also of an intellectual nature. If experts are to have the opportunity to express their views and contribute to the process of drafting the guidelines, I am convinced of the importance of clearly defining their place within the CTFPHC. 
The position of specialists (or experts) in the continuum of care exposes them primarily to severe or advanced forms of certain pathologies, which can lead to a bias in the representation of these diseases. It is therefore natural that an expert, 
accustomed to dealing with severe cases, perceive screening as an opportunity to reduce the incidence of these severe forms, even if this is not necessarily supported by the evidence. 
Furthermore, the epidemiological biases associated with screening (prognostic selection bias, advance bias, overdiagnosis bias) tend to exaggerate the perceived benefits of screening compared to their reality. It has been shown that recent improvements in health are largely attributable to advances in treatment, rather than to screening itself. As this is not necessarily intuitive, it is understandable that clinical experts, who do not always have expertise in critical appraisal of evidence, attribute these advances to the screenings they promote. 
All these factors may explain why experts generally have a favorable preconception of screening. In this sense, I consider that the integration of expert opinions should be used to enrich the reflective process without overriding the evidence. 
Screening and preventive practices can easily be co-opted for political ends, and are the subject of tensions between different interest groups. To ensure that recommendations remain aligned with the highest standards, it is essential that the CTFPHC retains its decision-making autonomy, and that its composition and processes are free from any form of political interference or external pressure. This is essential if it is to retain the trust of clinicians and the public alike. In my opinion, to enable it to play its role to the full, CTFPHC must be given the financial resources and support of our decision-makers.","In my opinion, CTFPHC must remain, and even be recognized, as the key national authority on preventive health, on which other entities can rely to develop public policy and clinical recommendations. In addition, CTFPHC must continue to act as an independent and accessible benchmark for front-line clinicians, ensuring that its recommendations remain free from the exposure and practice biases observed among some specialists. 

To maximize impact, CTFPHC must be supported in establishing formal knowledge-sharing mechanisms to strengthen the consistency of recommendations across the various preventive health players, which should be based on the CTFPHC's work. This is particularly true at provincial level, to ensure that practices are aligned with CTFPHC recommendations. ","To better reflect Canadian diversity and address health equity disparities, CTFPHC should continue to actively engage stakeholders 
equity-seeking communities and experts, while establishing clear guidelines for their contributions. 
It is essential, however, to maintain high standards of evidence for all communities, while avoiding compromising scientific rigor under the guise of equity. I draw the external review committee's attention to a text that details the limited role of screening in reducing health inequities. 
The CTFPHC should, as it has done for breast cancer in racialized women, put forward the evidence while demanding a rigorous level of proof for all communities. In my opinion, it is essential that CTFPHC continues to communicate clearly and transparently about the benefits, risks and uncertainties associated with its recommendations. By highlighting areas of uncertainty, as it already does, CTFPHC can promote informed, shared decision-making, tailored to the specificities of each population. In addition, CTFPHC should continue to call for more studies where there are areas of uncertainty that could be clarified by future research. ",,
N28-04,"I deeply respect the rigour and value of the Canadian Task Force on Preventive Health Care.  I believe the criticism of this institution is based on misguided approaches many practitioners and academics demonstrate.  The central issue revolves around how patients and the public are engaged with understanding the risks and benefits of potential preventive interventions. To be specific, there is published evidence showing the choices made by the public will differ depending on whether they are informed with relative data or absolute data.  I think the advice regarding using PSA for prostate cancer screening is currently most illustrative.  Between the ages of 50 to 70 those men who are regularly screened with PSA tests will have a 25% reduction in mortality from prostate cancer.  I am aware that different studies cite different percentages, but not enough to change the argument I am about to make.  It is also true that if 1000 men in that age group are unscreened for a decade, there will be 6 deaths from prostate cancer.  If those 1000 men were regularly screened with PSA and the detected cancers were subsequently treated then 4 would still die from prostate cancer.  The relative reduction in this case is 25 to 30% but the absolute reduction is 2 deaths per 1000 men over 10 years.  I can tell you based on speaking to many men in my practice over the last decades that there will be a reduction in how many men choose to undergo regular screening if they are told the absolute risk reduction as well as the relative percentage.  Some will still proceed knowing the reduction is 2/1000.  Men who are told of the side effects, often life long, of screening and treatment are even less likely to undergo screening.  At this point it is important to point out that the information about the absolute side effect data is very important and is even less available to the public.  It is the reduction of screening uptake that alarms or angers some parties.  They have trouble acknowledging this is from more informed, not less informed patients. Colleagues and advocates who wish to reduce the impact of specific diseases such as prostate cancer often adopt a reductionist agenda by attempting to maximize how many public members do the screening procedures.  I think it is disingenuous to consider oneself “patient centered” without taking the measures to give patients and the public clear, absolute presentations of risk and benefit.  There have been movements over the decades to promote literacy with “numbers needed to treat” and “numbers needed to harm”.  Failure of our professions to enthusiastically promote this kind of understanding is a source of mistrust.  At one time I was concurrently the family physician to the UofA Dean of Science, Dean of Medicine and Dean of Nursing.  All 3 of them came to the same conclusion, that the ongoing, even if well intentioned, paternalistic approach of the medical profession would dampen public trust in the health professions.  I think the Canadian Task Force has been one of the few institutions to demonstrate understanding and integrity via these issues.  I apologize for my lengthy email.  It’s currently a bit personal for me.  One of my life long friends is my age, 71.  He asked and received my opinion on prostate screening.  Despite this, he proceeded to screen, and, due to his use of anticoagulants, the discovered prostate cancer was treated with radiation protocol.  He was told that modern technology made side effects very unlikely (no numbers were given).  He now has limited ability to use his legs from radiation neuritis.  He uses twice per day rectal enemas for proven radiation rectal damage and is waiting 2 months to see a urologist for the disabling painful urgency from likely radiation cystitis.  And yet, I read criticisms of the Canadian Task Force and practitioners who simply want patients to better understand the consequences of their choices.  By the way, I fervently hope and trust that better screening and treatments will change the “absolute” data favorably.  I am a firm advocate for much prevention such as bowel cancer screening and think data will likely show we should start sooner.  But the outcomes are entirely different.  I fully understand that there is no perfect policy or approach for every patient.  I am responding to a request for input because we live in a time when all institutions are being attacked and it is unfortunate if a very good one becomes discredited unnecessarily.
",N/A,N/A,,
N29-01,"KEEP: Rigorous review of evidence without industry conflicts of interest. Independence from lobbying patient groups (with industry funding!), industry, or vested physician/other interest (eg breast cancer radiologists) must not be part of the task force.
CONSIDER: using some aspects from Health Technology Assessment (eg equity, environmental impact, ethical, and economic lenses to help with guidance on recommendations for implementation)","MANDATE: To decide if a screening test should be done at a population level or for a subset of the population, and to clearly convey the harms (including sequelae of over diagnosis, under diagnosis) and benefits in an easy to understand way
COLLABORATE: This is very challenging as most guideline committees (I have sat on a few!) have people sitting on them who have significant industry conflicts of interest; other times, emotional arguments from advocacy groups, rather than science, are heavily influential. So, I’m not sure the task force SHOULD be more collaborative. Maybe they should keep being independent as much as is possible","I don’t know exactly. Obviously broad representation helps. The Task Force cannot afford to pay some of the clinician contributors and I think offering payment for the work would make it more attractive for a more diverse group of people to participate. Right now it likely favours those with academic appointments.
I don’t think the TF must compromise to take in subject matter experts that have concerning financial biases. I would love to see MORE subject matter experts avoid industry entanglement; perhaps if academic and guidelines groups like the Task Force paid something/sufficiently they could attract subject-matter experts that would otherwise work directly with industry",,
